,imname,grade
0,cow_1++_4567.jpg,1++
1,cow_2_1390.jpg,2
4,cow_3_3287.jpg,3
8,cow_1+_5217.jpg,1+
9,cow_1_1271.jpg,1
11,cow_1++_2931.jpg,1++
14,cow_2_3259.jpg,2
15,cow_1+_2949.jpg,1+
16,cow_1+_3137.jpg,1+
17,cow_1+_5073.jpg,1+
19,cow_1+_3220.jpg,1+
21,cow_1++_1478.jpg,1++
23,cow_3_2287.jpg,3
24,cow_2_626.jpg,2
26,cow_1+_4626.jpg,1+
27,cow_3_1664.jpg,3
28,cow_1+_1421.jpg,1+
29,cow_2_2516.jpg,2
30,cow_1++_4306.jpg,1++
31,cow_1_3773.jpg,1
32,cow_3_3766.jpg,3
33,cow_1++_1948.jpg,1++
34,cow_1++_5043.jpg,1++
35,cow_2_2016.jpg,2
37,cow_1+_5428.jpg,1+
39,cow_1+_2922.jpg,1+
40,cow_3_2107.jpg,3
41,cow_1+_1666.jpg,1+
44,cow_3_3767.jpg,3
45,cow_1_4664.jpg,1
47,cow_1++_2917.jpg,1++
48,cow_1_1841.jpg,1
49,cow_1+_4835.jpg,1+
54,cow_1++_4902.jpg,1++
56,cow_3_3633.jpg,3
57,cow_1+_3523.jpg,1+
59,cow_2_5474.jpg,2
61,cow_1++_5096.jpg,1++
62,cow_1+_3389.jpg,1+
63,cow_3_1279.jpg,3
64,cow_2_5586.jpg,2
65,cow_1+_1488.jpg,1+
66,cow_1+_2868.jpg,1+
67,cow_2_5615.jpg,2
69,cow_1+_1633.jpg,1+
70,cow_3_2261.jpg,3
71,cow_2_3128.jpg,2
72,cow_2_2507.jpg,2
73,cow_1_2216.jpg,1
75,cow_2_2646.jpg,2
76,cow_1_3370.jpg,1
77,cow_1+_3193.jpg,1+
78,cow_1+_1931.jpg,1+
79,cow_1++_1514.jpg,1++
80,cow_1++_323.jpg,1++
81,cow_1_1782.jpg,1
82,cow_1++_5646.jpg,1++
85,cow_3_3799.jpg,3
87,cow_1_20.jpg,1
90,cow_1_5158.jpg,1
91,cow_3_3391.jpg,3
93,cow_3_3148.jpg,3
94,cow_2_3384.jpg,2
95,cow_1_4010.jpg,1
96,cow_1_2834.jpg,1
97,cow_1+_5124.jpg,1+
98,cow_1++_5797.jpg,1++
100,cow_1+_3421.jpg,1+
104,cow_2_2781.jpg,2
106,cow_2_2225.jpg,2
108,cow_2_70.jpg,2
109,cow_1++_4284.jpg,1++
110,cow_1++_3188.jpg,1++
111,cow_1+_356.jpg,1+
112,cow_1++_3160.jpg,1++
113,cow_1_500.jpg,1
114,cow_1+_4935.jpg,1+
116,cow_1+_567.jpg,1+
117,cow_1_3379.jpg,1
118,cow_1+_4562.jpg,1+
119,cow_3_2570.jpg,3
120,cow_1++_4024.jpg,1++
121,cow_2_1365.jpg,2
122,cow_1_588.jpg,1
130,cow_1_801.jpg,1
132,cow_1+_2738.jpg,1+
133,cow_1+_1120.jpg,1+
134,cow_2_4691.jpg,2
135,cow_1_1470.jpg,1
136,cow_1+_2483.jpg,1+
137,cow_3_1244.jpg,3
138,cow_1_1926.jpg,1
140,cow_2_2810.jpg,2
141,cow_1_1570.jpg,1
143,cow_1_2547.jpg,1
146,cow_2_920.jpg,2
147,cow_2_4161.jpg,2
148,cow_1_1427.jpg,1
149,cow_1_1284.jpg,1
150,cow_1+_2917.jpg,1+
151,cow_1+_2879.jpg,1+
153,cow_1++_713.jpg,1++
154,cow_1+_4838.jpg,1+
155,cow_1++_3293.jpg,1++
156,cow_1+_3822.jpg,1+
158,cow_1+_2292.jpg,1+
159,cow_2_4459.jpg,2
160,cow_1_2754.jpg,1
167,cow_1_4825.jpg,1
169,cow_1+_1701.jpg,1+
172,cow_1_3572.jpg,1
174,cow_2_574.jpg,2
178,cow_1+_5901.jpg,1+
182,cow_1_2008.jpg,1
183,cow_1++_4017.jpg,1++
186,cow_1++_183.jpg,1++
187,cow_1++_2928.jpg,1++
191,cow_1_3606.jpg,1
192,cow_1_4163.jpg,1
194,cow_1+_3998.jpg,1+
195,cow_1++_5988.jpg,1++
198,cow_1_838.jpg,1
200,cow_3_2375.jpg,3
201,cow_1++_3674.jpg,1++
205,cow_3_2769.jpg,3
207,cow_1+_3640.jpg,1+
208,cow_1+_1149.jpg,1+
209,cow_2_5178.jpg,2
213,cow_1++_3640.jpg,1++
214,cow_1+_3212.jpg,1+
219,cow_2_3142.jpg,2
220,cow_1_3944.jpg,1
222,cow_1_1235.jpg,1
223,cow_3_3009.jpg,3
226,cow_1++_2308.jpg,1++
227,cow_1++_1002.jpg,1++
